TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"8567858","One Piece Card Game","Royal Blood","Baby 5","","OP10-076","UC","Near Mint","0.20","","1.4500","0.1400","","0","",""
"8567763","One Piece Card Game","Royal Blood","Barrier-Barrier Pistol","","OP10-060","C","Near Mint","0.15","","1.3300","0.0200","","0","",""
"8567718","One Piece Card Game","Royal Blood","Bartolomeo","","OP10-052","C","Near Mint","0.14","","1.3300","0.0200","","0","",""
"8568038","One Piece Card Game","Royal Blood","Basil Hawkins","","OP10-109","R","Near Mint Foil","0.38","","1.5600","0.2500","","0","",""
"8567863","One Piece Card Game","Royal Blood","Bellamy","","OP10-077","C","Near Mint","0.10","","1.3300","0.0200","","0","",""
"8567723","One Piece Card Game","Royal Blood","Bian","","OP10-053","C","Near Mint","0.12","","1.3300","0.0200","","0","",""
"8567728","One Piece Card Game","Royal Blood","Blue Gilly","","OP10-054","C","Near Mint","0.07","","1.3200","0.0100","","0","",""
"8567613","One Piece Card Game","Royal Blood","Brook (035)","","OP10-035","C","Near Mint","0.15","","1.3800","0.0700","","0","",""
"8567943","One Piece Card Game","Royal Blood","Brook (091)","","OP10-091","C","Near Mint","0.17","","1.3300","0.0200","","0","",""
"8567843","One Piece Card Game","Royal Blood","Buffalo","","OP10-073","C","Near Mint","0.12","","1.3300","0.0200","","0","",""
"8567408","One Piece Card Game","Royal Blood","Caesar Clown (002)","","OP10-002","L","Near Mint","0.22","","1.4600","0.1500","","0","",""
"8567413","One Piece Card Game","Royal Blood","Caesar Clown (002) (Parallel)","","OP10-002","L","Near Mint Foil","23.55","","23.9900","23.0000","","0","",""
"8567443","One Piece Card Game","Royal Blood","Caesar Clown (006)","","OP10-006","UC","Near Mint","0.17","","1.3300","0.0200","","0","",""
"8568008","One Piece Card Game","Royal Blood","Capone""Gang""Bege","","OP10-103","R","Near Mint Foil","0.36","","1.5000","0.1900","","0","",""
"8568013","One Piece Card Game","Royal Blood","Caribou","","OP10-104","UC","Near Mint","0.17","","1.3300","0.0200","","0","",""
"8567673","One Piece Card Game","Royal Blood","Cavendish (045)","","OP10-045","R","Near Mint Foil","0.26","","1.4600","0.1500","","0","",""
"8567678","One Piece Card Game","Royal Blood","Cavendish (045) (Parallel)","","OP10-045","R","Near Mint Foil","15.58","","15.9900","11.0000","","0","",""
"8568018","One Piece Card Game","Royal Blood","Cavendish (105)","","OP10-105","C","Near Mint","0.11","","1.3300","0.0200","","0","",""
"8567448","One Piece Card Game","Royal Blood","Ceaser Soldier","","OP10-007","UC","Near Mint","0.12","","1.3300","0.0200","","0","",""
"8567463","One Piece Card Game","Royal Blood","Chadros.Higelyges (Brownbeard)","","OP10-010","C","Near Mint","0.13","","1.3300","0.0200","","0","",""
"8567388","One Piece Card Game","Royal Blood","Charlotte Flampe (SP)","","EB01-056","R","Near Mint Foil","140.59","","113.7400","112.5200","","0","",""
"8568118","One Piece Card Game","Royal Blood","Charlotte Pudding (SP)","","ST12-012","C","Near Mint Foil","55.19","","63.6900","63.6900","","0","",""
"8567783","One Piece Card Game","Royal Blood","Clone Soldier","","OP10-064","C","Near Mint","0.11","","1.3300","0.0200","","0","",""
"8567668","One Piece Card Game","Royal Blood","Cub","","OP10-044","UC","Near Mint","0.09","","1.3300","0.0200","","0","",""
"8568083","One Piece Card Game","Royal Blood","Damned Punk","","OP10-116","R","Near Mint Foil","0.34","","1.4900","0.1800","","0","",""
"8567808","One Piece Card Game","Royal Blood","Diamante","","OP10-068","C","Near Mint","0.10","","1.3300","0.0200","","0","",""
"8567513","One Piece Card Game","Royal Blood","Divine Departure","","OP10-019","R","Near Mint Foil","0.81","","1.5600","0.2500","","0","",""
"8567518","One Piece Card Game","Royal Blood","Divine Departure (Parallel)","","OP10-019","R","Near Mint Foil","90.92","","89.7300","88.5100","","0","",""
"8627805","One Piece Card Game","Royal Blood","DON!! Card (Alternate Art)","","","DON!!","Near Mint","0.97","","2.0000","0.6900","","0","",""
"8567823","One Piece Card Game","Royal Blood","Donquixote Doflamingo","","OP10-071","SR","Near Mint Foil","0.93","","2.2000","0.8900","","0","",""
"8567828","One Piece Card Game","Royal Blood","Donquixote Doflamingo (Parallel)","","OP10-071","SR","Near Mint Foil","14.16","","13.1000","8.1100","","0","",""
"8567833","One Piece Card Game","Royal Blood","Donquixote Rosinante","","OP10-072","SR","Near Mint Foil","1.15","","2.2100","0.9000","","0","",""
"8567838","One Piece Card Game","Royal Blood","Donquixote Rosinante (Parallel)","","OP10-072","SR","Near Mint Foil","14.11","","13.8000","13.8000","","0","",""
"8567573","One Piece Card Game","Royal Blood","Dracule Mihawk","","OP10-029","R","Near Mint Foil","0.17","","1.3900","0.0800","","0","",""
"8567473","One Piece Card Game","Royal Blood","Dragon Number Thirteen","","OP10-012","C","Near Mint","0.13","","1.3300","0.0200","","0","",""
"8567548","One Piece Card Game","Royal Blood","Edward.Newgate","","OP10-024","C","Near Mint","0.16","","1.3300","0.0200","","0","",""
"8568128","One Piece Card Game","Royal Blood","Edward.Newgate (SP)","","ST15-002","SR","Near Mint Foil","136.81","","134.9900","130.0000","","0","",""
"8568003","One Piece Card Game","Royal Blood","Emporio.Ivankov","","OP10-102","C","Near Mint","0.18","","1.3800","0.0700","","0","",""
"8567553","One Piece Card Game","Royal Blood","Enel","","OP10-025","R","Near Mint Foil","0.21","","1.4500","0.1400","","0","",""
"8567983","One Piece Card Game","Royal Blood","Eustass""Captain""Kid (099)","","OP10-099","L","Near Mint","0.27","","1.4900","0.1800","","0","",""
"8567988","One Piece Card Game","Royal Blood","Eustass""Captain""Kid (099) (Parallel)","","OP10-099","L","Near Mint Foil","67.30","","59.8800","59.8800","","0","",""
"8568058","One Piece Card Game","Royal Blood","Eustass""Captain""Kid (112)","","OP10-112","SR","Near Mint Foil","2.93","","4.0000","2.6900","","0","",""
"8568063","One Piece Card Game","Royal Blood","Eustass""Captain""Kid (112) (Parallel)","","OP10-112","SR","Near Mint Foil","22.13","","24.0000","19.0100","","0","",""
"8567813","One Piece Card Game","Royal Blood","Fighting Fish","","OP10-069","C","Near Mint","0.04","","1.3300","0.0200","","0","",""
"8567758","One Piece Card Game","Royal Blood","Fo...llow...Me...and...I...Will...Gui...de...You","","OP10-059","R","Near Mint Foil","0.21","","1.4100","0.1000","","0","",""
"8567853","One Piece Card Game","Royal Blood","Foxy","","OP10-075","UC","Near Mint","0.20","","1.3600","0.0500","","0","",""
"8567483","One Piece Card Game","Royal Blood","Franky (014)","","OP10-014","C","Near Mint","0.16","","1.3300","0.0200","","0","",""
"8567608","One Piece Card Game","Royal Blood","Franky (034)","","OP10-034","C","Near Mint","0.14","","1.3900","0.0800","","0","",""
"8567933","One Piece Card Game","Royal Blood","Franky (090)","","OP10-090","R","Near Mint Foil","0.25","","1.4100","0.1000","","0","",""
"8567938","One Piece Card Game","Royal Blood","Franky (090) (Parallel)","","OP10-090","R","Near Mint Foil","13.31","","10.9900","10.0000","","0","",""
"8567793","One Piece Card Game","Royal Blood","Giolla","","OP10-066","UC","Near Mint","0.13","","1.3600","0.0500","","0","",""
"8567873","One Piece Card Game","Royal Blood","God Thread","","OP10-079","UC","Near Mint","0.19","","1.4500","0.1400","","0","",""
"8567638","One Piece Card Game","Royal Blood","Gum-Gum Dragon Fire Pistol Twister Star","","OP10-039","UC","Near Mint","0.17","","1.4500","0.1400","","0","",""
"8567973","One Piece Card Game","Royal Blood","Gum-Gum Rhino Schneider","","OP10-097","C","Near Mint","0.16","","1.3300","0.0200","","0","",""
"8567523","One Piece Card Game","Royal Blood","Gum-Gum UFO","","OP10-020","UC","Near Mint","0.15","","1.3300","0.0200","","0","",""
"8567713","One Piece Card Game","Royal Blood","Hack","","OP10-051","UC","Near Mint","0.16","","1.4400","0.1300","","0","",""
"8567708","One Piece Card Game","Royal Blood","Hajrudin","","OP10-050","C","Near Mint","0.08","","1.3300","0.0200","","0","",""
"8568043","One Piece Card Game","Royal Blood","Heat & Wire","","OP10-110","C","Near Mint","0.16","","1.3300","0.0200","","0","",""
"8567868","One Piece Card Game","Royal Blood","I Do Not Forgive Those Who Laugh at My Family!!!","","OP10-078","R","Near Mint Foil","0.15","","1.4200","0.1100","","0","",""
"8567993","One Piece Card Game","Royal Blood","Inazuma","","OP10-100","C","Near Mint","0.13","","1.3800","0.0700","","0","",""
"8567543","One Piece Card Game","Royal Blood","Issho","","OP10-023","C","Near Mint","0.12","","1.3300","0.0200","","0","",""
"8567908","One Piece Card Game","Royal Blood","Jesus Burgess","","OP10-085","UC","Near Mint","0.20","","1.4600","0.1500","","0","",""
"8568028","One Piece Card Game","Royal Blood","Jewelry Bonney","","OP10-107","UC","Near Mint","0.19","","1.4500","0.1400","","0","",""
"8568023","One Piece Card Game","Royal Blood","Killer","","OP10-106","UC","Near Mint","0.17","","1.4100","0.1000","","0","",""
"8567558","One Piece Card Game","Royal Blood","Kin'emon (026)","","OP10-026","C","Near Mint","0.13","","1.3400","0.0300","","0","",""
"8567563","One Piece Card Game","Royal Blood","Kin'emon (027)","","OP10-027","UC","Near Mint","0.17","","1.3900","0.0800","","0","",""
"8567693","One Piece Card Game","Royal Blood","Koala","","OP10-047","UC","Near Mint","0.19","","1.4400","0.1300","","0","",""
"8567568","One Piece Card Game","Royal Blood","Kouzuki Momonosuke (028)","","OP10-028","UC","Near Mint","0.22","","1.4500","0.1400","","0","",""
"8567898","One Piece Card Game","Royal Blood","Kouzuki Momonosuke (083)","","OP10-083","UC","Near Mint","0.18","","1.4600","0.1500","","0","",""
"8567888","One Piece Card Game","Royal Blood","Kuzan","","OP10-082","SR","Near Mint Foil","3.98","","4.8100","3.5000","","0","",""
"8567893","One Piece Card Game","Royal Blood","Kuzan (Parallel)","","OP10-082","SR","Near Mint Foil","53.76","","53.9100","48.9200","","0","",""
"8567683","One Piece Card Game","Royal Blood","Kyros","","OP10-046","SR","Near Mint Foil","1.80","","2.7600","1.4500","","0","",""
"8567688","One Piece Card Game","Royal Blood","Kyros (Parallel)","","OP10-046","SR","Near Mint Foil","16.74","","16.4900","16.4900","","0","",""
"8567743","One Piece Card Game","Royal Blood","Leo","","OP10-057","R","Near Mint Foil","0.20","","1.4300","0.1200","","0","",""
"8568078","One Piece Card Game","Royal Blood","Let's Meet Again in the New World","","OP10-115","C","Near Mint","0.12","","1.3300","0.0200","","0","",""
"8567978","One Piece Card Game","Royal Blood","Liberation","","OP10-098","R","Near Mint Foil","0.42","","1.5300","0.2200","","0","",""
"8567623","One Piece Card Game","Royal Blood","Lim","","OP10-037","R","Near Mint Foil","0.21","","1.4000","0.0900","","0","",""
"8567628","One Piece Card Game","Royal Blood","Lim (Parallel)","","OP10-037","R","Near Mint Foil","13.11","","13.5200","12.3000","","0","",""
"8567878","One Piece Card Game","Royal Blood","Little Black Bears","","OP10-080","C","Near Mint","0.11","","1.3300","0.0200","","0","",""
