TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"7871326","One Piece Card Game","500 Years in the Future","Ain","","OP07-002","R","Near Mint Foil","0.14","","1.3200","0.0100","","0","",""
"7871431","One Piece Card Game","500 Years in the Future","Aladine","","OP07-020","C","Near Mint","0.12","","1.3200","0.0100","","0","",""
"7871901","One Piece Card Game","500 Years in the Future","Atlas","","OP07-098","UC","Near Mint","0.14","","1.3600","0.0500","","0","",""
"7871371","One Piece Card Game","500 Years in the Future","Baccarat","","OP07-010","R","Near Mint Foil","0.22","","1.4100","0.1000","","0","",""
"7871501","One Piece Card Game","500 Years in the Future","Bartolomeo","","OP07-031","UC","Near Mint","0.14","","1.3400","0.0300","","0","",""
"7871486","One Piece Card Game","500 Years in the Future","Basil Hawkins","","OP07-029","SR","Near Mint Foil","0.42","","1.4600","0.1500","0","0","3.6800",""
"7871491","One Piece Card Game","500 Years in the Future","Basil Hawkins (Parallel)","","OP07-029","SR","Near Mint Foil","9.92","","9.8100","9.8100","1","0","11.0000",""
"7871841","One Piece Card Game","500 Years in the Future","Baskerville","","OP07-087","C","Near Mint","0.10","","1.3200","0.0100","","0","",""
"7871736","One Piece Card Game","500 Years in the Future","Big Bun","","OP07-070","UC","Near Mint","0.12","","1.3200","0.0100","","0","",""
"7872006","One Piece Card Game","500 Years in the Future","Blaze Slice","","OP07-116","R","Near Mint Foil","0.33","","1.5100","0.2000","","0","",""
"7871376","One Piece Card Game","500 Years in the Future","Bluejam","","OP07-011","C","Near Mint","0.09","","1.3200","0.0100","","0","",""
"7871536","One Piece Card Game","500 Years in the Future","Boa Hancock (038)","","OP07-038","L","Near Mint","0.14","","1.3600","0.0500","","0","",""
"7871541","One Piece Card Game","500 Years in the Future","Boa Hancock (038) (Parallel)","","OP07-038","L","Near Mint Foil","68.21","","66.9900","66.0000","","0","",""
"7871621","One Piece Card Game","500 Years in the Future","Boa Hancock (051)","","OP07-051","SR","Near Mint Foil","0.84","","1.6700","0.3600","0","0","6.4600",""
"7871626","One Piece Card Game","500 Years in the Future","Boa Hancock (051) (Parallel)","","OP07-051","SR","Near Mint Foil","16.63","","14.9900","13.6800","","0","",""
"7871631","One Piece Card Game","500 Years in the Future","Boa Hancock (051) (Parallel) (Manga)","","OP07-051","SR","Near Mint Foil","497.54","","598.9900","594.0000","","0","",""
"8375326","One Piece Card Game","500 Years in the Future","Boa Hancock (SP)","","OP07-051","SR","Near Mint Foil","234.45","","224.9900","220.0000","","0","",""
"7871636","One Piece Card Game","500 Years in the Future","Boa Marigold","","OP07-052","C","Near Mint","0.07","","1.3200","0.0100","","0","",""
"7871616","One Piece Card Game","500 Years in the Future","Boa Sandersonia","","OP07-050","C","Near Mint","0.06","","1.3200","0.0100","","0","",""
"7871611","One Piece Card Game","500 Years in the Future","Buckin","","OP07-049","C","Near Mint","0.03","","1.3200","0.0100","","0","",""
"7871696","One Piece Card Game","500 Years in the Future","Capote","","OP07-063","C","Near Mint","0.04","","1.3200","0.0100","","0","",""
"7871811","One Piece Card Game","500 Years in the Future","Captain John","","OP07-082","UC","Near Mint","0.04","","1.3200","0.0100","","0","",""
"7871451","One Piece Card Game","500 Years in the Future","Caribou","","OP07-023","UC","Near Mint","0.05","","1.3200","0.0100","","0","",""
"7871341","One Piece Card Game","500 Years in the Future","Carina","","OP07-005","R","Near Mint Foil","0.15","","1.3200","0.0100","","0","",""
"7871346","One Piece Card Game","500 Years in the Future","Carina (Parallel)","","OP07-005","R","Near Mint Foil","7.36","","7.7500","7.7500","","0","",""
"7871461","One Piece Card Game","500 Years in the Future","Coribou","","OP07-025","C","Near Mint","0.02","","1.3200","0.0100","","0","",""
"7871551","One Piece Card Game","500 Years in the Future","Crocodile","","OP07-040","UC","Near Mint","0.71","","1.8800","0.5700","","0","",""
"7871336","One Piece Card Game","500 Years in the Future","Curly.Dadan","","OP07-004","R","Near Mint Foil","0.06","","1.3200","0.0100","","0","",""
"7871526","One Piece Card Game","500 Years in the Future","Demonic Aura Nine-Sword Style Asura Demon Nine Flash","","OP07-036","R","Near Mint Foil","0.23","","1.4100","0.1000","","0","",""
"7871356","One Piece Card Game","500 Years in the Future","Dice","","OP07-007","C","Near Mint","0.03","","1.3200","0.0100","","0","",""
"7871366","One Piece Card Game","500 Years in the Future","Dogura & Magura","","OP07-009","C","Near Mint","0.04","","1.3200","0.0100","","0","",""
"7995221","One Piece Card Game","500 Years in the Future","DON!! Card (Alternate Art)","","","DON!!","Near Mint Foil","0.45","","1.5100","0.2000","0","0","0.6900",""
"8013762","One Piece Card Game","500 Years in the Future","DON!! Card (Boa Hancock) (Double Pack Set Vol. 4)","","","DON!!","Near Mint Foil","8.45","","8.5500","8.5500","0","0","6.8800",""
"8013772","One Piece Card Game","500 Years in the Future","DON!! Card (Trafalgar Law, Eustass Kid and Monkey.D.Luffy) (Double Pack Set Vol. 4)","","","DON!!","Near Mint Foil","1.93","","2.7600","1.4500","0","0","3.9400",""
"7871606","One Piece Card Game","500 Years in the Future","Donquixote Doflamingo","","OP07-048","UC","Near Mint","0.12","","1.3300","0.0200","","0","",""
"7872041","One Piece Card Game","500 Years in the Future","Donquixote Doflamingo (SP)","","OP01-073","R","Near Mint Foil","61.02","","58.1500","58.1500","0","0","64.8400",""
"7871571","One Piece Card Game","500 Years in the Future","Dracule Mihawk","","OP07-044","C","Near Mint","0.05","","1.3200","0.0100","","0","",""
"7871411","One Piece Card Game","500 Years in the Future","Dragon Breath","","OP07-017","UC","Near Mint","0.08","","1.3200","0.0100","","0","",""
"7871911","One Piece Card Game","500 Years in the Future","Edison","","OP07-100","C","Near Mint","0.08","","1.3200","0.0100","","0","",""
"7871546","One Piece Card Game","500 Years in the Future","Edward Weevil","","OP07-039","C","Near Mint","0.04","","1.3200","0.0100","","0","",""
"7872011","One Piece Card Game","500 Years in the Future","Egghead","","OP07-117","C","Near Mint","0.06","","1.3200","0.0100","","0","",""
"7872056","One Piece Card Game","500 Years in the Future","Eustass""Captain""Kid (SP)","","OP05-074","SR","Near Mint Foil","51.57","","49.7500","49.7500","","0","",""
"7871506","One Piece Card Game","500 Years in the Future","Fisher Tiger","","OP07-032","R","Near Mint Foil","0.16","","1.3200","0.0100","","0","",""
"7871671","One Piece Card Game","500 Years in the Future","Foxy (059)","","OP07-059","L","Near Mint","0.09","","1.3300","0.0200","","0","",""
"7871676","One Piece Card Game","500 Years in the Future","Foxy (059) (Parallel)","","OP07-059","L","Near Mint Foil","18.70","","18.7000","18.7000","","0","",""
"7871741","One Piece Card Game","500 Years in the Future","Foxy (071)","","OP07-071","R","Near Mint Foil","0.13","","1.3600","0.0500","","0","",""
"7871746","One Piece Card Game","500 Years in the Future","Foxy (071) (Parallel)","","OP07-071","R","Near Mint Foil","5.88","","5.7900","5.7900","0","0","8.0000",""
"7871946","One Piece Card Game","500 Years in the Future","Franky","","OP07-107","R","Near Mint Foil","0.75","","1.9300","0.6200","","0","",""
"7871951","One Piece Card Game","500 Years in the Future","Franky (Parallel)","","OP07-107","R","Near Mint Foil","17.55","","17.0000","17.0000","","0","",""
"7871941","One Piece Card Game","500 Years in the Future","Fuza","","OP07-106","C","Near Mint","0.03","","1.3200","0.0100","","0","",""
"7871406","One Piece Card Game","500 Years in the Future","Galaxy Wink","","OP07-016","R","Near Mint Foil","0.11","","1.3200","0.0100","","0","",""
"7871561","One Piece Card Game","500 Years in the Future","Gecko Moria (042)","","OP07-042","C","Near Mint","0.04","","1.3200","0.0100","","0","",""
"7871816","One Piece Card Game","500 Years in the Future","Gecko Moria (083)","","OP07-083","UC","Near Mint","0.07","","1.3200","0.0100","","0","",""
"7871711","One Piece Card Game","500 Years in the Future","Gina","","OP07-065","UC","Near Mint","0.25","","1.4600","0.1500","","0","",""
"7871821","One Piece Card Game","500 Years in the Future","Gismonda","","OP07-084","C","Near Mint","0.04","","1.3200","0.0100","","0","",""
"7871556","One Piece Card Game","500 Years in the Future","Gloriosa (Grandma Nyon)","","OP07-041","UC","Near Mint","0.14","","1.3600","0.0500","","0","",""
"7871726","One Piece Card Game","500 Years in the Future","Hamburg","","OP07-068","UC","Near Mint","0.06","","1.3200","0.0100","","0","",""
